:START_ID,:END_ID
-0 #,-0 !
-0 $,-0 !
-0 %,-0 !
-0 &,-0 !
-0 ',-0 !
-0 (,-0 !
-0 ),-0 !
-0 *,-0 !
-0 +,-0 !
-0 -,-0 !
-0 .,-0 !
-0 /,-0 !
-0 0,-0 !
-0 1,-0 !
-0 2,-0 !
-0 3,-0 !
-0 4,-0 !
-0 5,-0 !
-0 6,-0 !
-0 7,-0 !
-0 8,-0 !
-0 9,-0 !
-0 :,-0 !
-0 ;,-0 !
-0 <,-0 !
-0 =,-0 !
-0 >,-0 !
-0 ?,-0 !
-0 @,-0 !
-0 A,-0 !
-0 B,-0 !
-0 C,-0 !
-0 D,-0 !
-0 E,-0 !
-0 F,-0 !
-0 G,-0 !
-0 H,-0 !
-0 I,-0 !
-0 J,-0 !
-0 K,-0 !
-0 L,-0 !
-0 M,-0 !
-0 N,-0 !
-0 O,-0 !
-0 P,-0 !
-0 Q,-0 !
-0 R,-0 !
-0 S,-0 !
-0 T,-0 !
-0 U,-0 !
-0 V,-0 !
-0 W,-0 !
-0 X,-0 !
-0 Y,-0 !
-0 Z,-0 !
-0 [,-0 !
-0 ],-0 !
-0 ^,-0 !
-0 _,-0 !
-0 `,-0 !
-0 a,-0 !
-0 c,-0 b
-0 d,-0 b
-0 e,-0 b
-0 f,-0 b
-0 g,-0 b
-0 h,-0 b
-0 i,-0 b
-0 j,-0 b
-0 k,-0 b
-0 l,-0 b
-0 m,-0 b
-0 n,-0 b
-0 o,-0 b
-0 p,-0 b
-0 q,-0 b
-0 r,-0 b
-0 s,-0 b
-0 t,-0 b
-0 u,-0 b
-0 v,-0 b
-0 w,-0 b
-0 x,-0 b
-0 y,-0 b
-0 z,-0 b
-0 {,-0 b
-0 |,-0 b
-0 },-0 b
-0 ~,-0 b
-0 !!,-0 b
-0 !#,-0 b
-0 !$,-0 b
-0 !%,-0 b
-0 !&,-0 b
-0 !',-0 b
-0 !(,-0 b
-0 !),-0 b
-0 !*,-0 b
-0 !+,-0 b
-0 !-,-0 b
-0 !.,-0 b
-0 !/,-0 b
-0 !0,-0 b
-0 !1,-0 b
-0 !2,-0 b
-0 !3,-0 b
-0 !4,-0 b
-0 !5,-0 b
-0 !6,-0 b
-0 !7,-0 b
-0 !8,-0 b
-0 !9,-0 b
-0 !:,-0 b
-0 !;,-0 b
-0 !<,-0 b
-0 !=,-0 b
-0 !>,-0 b
-0 !?,-0 b
-0 !@,-0 b
-0 !A,-0 b
-0 !B,-0 b
-0 !C,-0 b
-0 !D,-0 b
-0 !E,-0 b
-0 !F,-0 b
-0 !G,-0 b
-0 !H,-0 b
-0 !I,-0 b
-0 !J,-0 b
-0 !K,-0 b
