:START_ID,:END_ID
+[ #,+[ !
+[ $,+[ !
+[ %,+[ !
+[ &,+[ !
+[ ',+[ !
+[ (,+[ !
+[ ),+[ !
+[ *,+[ !
+[ +,+[ !
+[ -,+[ !
+[ .,+[ !
+[ /,+[ !
+[ 0,+[ !
+[ 1,+[ !
+[ 2,+[ !
+[ 3,+[ !
+[ 4,+[ !
+[ 5,+[ !
+[ 6,+[ !
+[ 7,+[ !
+[ 8,+[ !
+[ :,+[ 9
+[ ;,+[ 9
+[ <,+[ 9
+[ =,+[ 9
+[ >,+[ 9
+[ ?,+[ 9
+[ @,+[ 9
+[ A,+[ 9
+[ B,+[ 9
+[ C,+[ 9
+[ D,+[ 9
+[ E,+[ 9
+[ F,+[ 9
+[ G,+[ 9
+[ H,+[ 9
+[ I,+[ 9
+[ J,+[ 9
+[ K,+[ 9
+[ L,+[ 9
+[ M,+[ 9
+[ N,+[ 9
+[ O,+[ 9
+[ P,+[ 9
+[ Q,+[ 9
+[ R,+[ 9
+[ S,+[ 9
+[ T,+[ 9
+[ U,+[ 9
+[ V,+[ 9
+[ W,+[ 9
+[ X,+[ 9
+[ Y,+[ 9
+[ Z,+[ 9
+[ [,+[ 9
+[ ],+[ 9
+[ ^,+[ 9
+[ _,+[ 9
+[ `,+[ 9
+[ a,+[ 9
+[ b,+[ 9
+[ c,+[ 9
+[ d,+[ 9
+[ e,+[ 9
+[ f,+[ 9
+[ g,+[ 9
+[ h,+[ 9
+[ i,+[ 9
+[ j,+[ 9
+[ k,+[ 9
+[ l,+[ 9
+[ m,+[ 9
+[ n,+[ 9
+[ o,+[ 9
+[ p,+[ 9
+[ q,+[ 9
+[ r,+[ 9
+[ s,+[ 9
+[ t,+[ 9
+[ u,+[ 9
+[ v,+[ 9
+[ w,+[ 9
+[ x,+[ 9
+[ y,+[ 9
+[ z,+[ 9
+[ {,+[ 9
+[ |,+[ 9
+[ },+[ 9
+[ ~,+[ 9
+[ !!,+[ 9
+[ !#,+[ 9
+[ !$,+[ 9
+[ !%,+[ 9
+[ !&,+[ 9
+[ !',+[ 9
+[ !(,+[ 9
+[ !),+[ 9
+[ !*,+[ 9
+[ !+,+[ 9
+[ !-,+[ 9
+[ !.,+[ 9
+[ !/,+[ 9
+[ !0,+[ 9
+[ !1,+[ 9
+[ !2,+[ 9
+[ !3,+[ 9
+[ !4,+[ 9
+[ !5,+[ 9
+[ !6,+[ 9
+[ !7,+[ 9
+[ !8,+[ 9
+[ !9,+[ 9
+[ !:,+[ 9
+[ !;,+[ 9
+[ !<,+[ 9
+[ !=,+[ 9
+[ !>,+[ 9
+[ !?,+[ 9
+[ !@,+[ 9
+[ !A,+[ 9
+[ !B,+[ 9
+[ !C,+[ 9
+[ !D,+[ 9
+[ !E,+[ 9
+[ !F,+[ 9
+[ !G,+[ 9
+[ !H,+[ 9
+[ !I,+[ 9
+[ !J,+[ 9
+[ !K,+[ 9
+[ !L,+[ 9
+[ !M,+[ 9
+[ !N,+[ 9
+[ !O,+[ 9
+[ !P,+[ 9
+[ !Q,+[ 9
+[ !R,+[ 9
+[ !S,+[ 9
+[ !T,+[ 9
+[ !U,+[ 9
+[ !V,+[ 9
