:START_ID,:END_ID
%c #,%c !
%c $,%c !
%c %,%c !
%c &,%c !
%c ',%c !
%c (,%c !
%c ),%c !
%c *,%c !
%c +,%c !
%c -,%c !
%c .,%c !
%c /,%c !
%c 0,%c !
%c 1,%c !
%c 2,%c !
%c 3,%c !
%c 4,%c !
%c 5,%c !
%c 6,%c !
%c 7,%c !
%c 8,%c !
%c 9,%c !
%c :,%c !
%c ;,%c !
%c <,%c !
%c =,%c !
%c >,%c !
%c ?,%c !
%c @,%c !
%c A,%c !
%c B,%c !
%c C,%c !
%c D,%c !
%c E,%c !
%c F,%c !
%c G,%c !
%c H,%c !
%c I,%c !
%c J,%c !
%c K,%c !
%c L,%c !
%c M,%c !
%c N,%c !
%c O,%c !
%c P,%c !
%c Q,%c !
%c R,%c !
%c S,%c !
%c T,%c !
%c U,%c !
%c V,%c !
%c W,%c !
%c X,%c !
%c Y,%c !
%c Z,%c !
%c [,%c !
%c ],%c !
%c ^,%c !
%c _,%c !
%c `,%c !
%c a,%c !
%c b,%c !
%c c,%c !
%c d,%c !
%c e,%c !
%c f,%c !
%c g,%c !
%c h,%c !
%c i,%c !
%c j,%c !
%c k,%c !
%c l,%c !
%c m,%c !
%c n,%c !
%c o,%c !
%c p,%c !
%c q,%c !
%c r,%c !
%c s,%c !
%c t,%c !
%c u,%c !
%c v,%c !
%c w,%c !
%c x,%c !
%c y,%c !
%c z,%c !
%c {,%c !
%c |,%c !
%c },%c !
%c ~,%c !
%c !!,%c !
%c !#,%c !
%c !$,%c !
%c !%,%c !
%c !&,%c !
%c !',%c !
%c !(,%c !
%c !),%c !
%c !*,%c !
%c !+,%c !
%c !-,%c !
%c !.,%c !
%c !/,%c !
%c !0,%c !
%c !1,%c !
%c !2,%c !
%c !3,%c !
%c !4,%c !
%c !5,%c !
%c !6,%c !
%c !7,%c !
%c !8,%c !
%c !9,%c !
%c !:,%c !
%c !;,%c !
%c !<,%c !
%c !=,%c !
%c !>,%c !
%c !?,%c !
%c !@,%c !
%c !A,%c !
%c !B,%c !
%c !C,%c !
%c !D,%c !
%c !E,%c !
%c !F,%c !
%c !G,%c !
%c !H,%c !
%c !I,%c !
%c !J,%c !
%c !K,%c !
%c !L,%c !
%c !M,%c !
%c !N,%c !
%c !O,%c !
%c !P,%c !
%c !Q,%c !
%c !R,%c !
%c !S,%c !
%c !T,%c !
%c !U,%c !
%c !V,%c !
%c !W,%c !
%c !X,%c !
%c !Y,%c !
%c !Z,%c !
%c ![,%c !
%c !],%c !
%c !^,%c !
%c !_,%c !
%c !`,%c !
%c !a,%c !
%c !b,%c !
%c !c,%c !
%c !d,%c !
%c !e,%c !
%c !f,%c !
%c !g,%c !
%c !h,%c !
%c !i,%c !
%c !j,%c !
%c !k,%c !
%c !l,%c !
%c !m,%c !
%c !n,%c !
%c !o,%c !
%c !p,%c !
%c !q,%c !
%c !r,%c !
%c !s,%c !
%c !t,%c !
%c !u,%c !
%c !v,%c !
%c !w,%c !
%c !x,%c !
%c !y,%c !
%c !z,%c !
%c !{,%c !
%c !|,%c !
%c !},%c !
%c !~,%c !
%c #!,%c !
%c ##,%c !
%c #$,%c !
%c #%,%c !
%c #&,%c !
%c #',%c !
%c #(,%c !
%c #),%c !
%c #*,%c !
%c #+,%c !
%c #-,%c !
%c #.,%c !
%c #/,%c !
%c #0,%c !
%c #1,%c !
%c #2,%c !
%c #3,%c !
%c #4,%c !
%c #5,%c !
%c #6,%c !
%c #7,%c !
%c #8,%c !
%c #9,%c !
%c #:,%c !
%c #;,%c !
%c #<,%c !
%c #=,%c !
%c #>,%c !
%c #?,%c !
%c #@,%c !
%c #A,%c !
%c #B,%c !
%c #C,%c !
%c #D,%c !
%c #E,%c !
%c #F,%c !
%c #G,%c !
%c #H,%c !
%c #I,%c !
%c #J,%c !
%c #K,%c !
%c #L,%c !
%c #M,%c !
%c #N,%c !
%c #O,%c !
%c #P,%c !
%c #Q,%c !
%c #R,%c !
%c #S,%c !
%c #T,%c !
%c #U,%c !
%c #V,%c !
%c #W,%c !
%c #X,%c !
%c #Y,%c !
%c #Z,%c !
%c #[,%c !
%c #],%c !
%c #^,%c !
%c #_,%c !
%c #`,%c !
%c #a,%c !
%c #b,%c !
%c #c,%c !
%c #d,%c !
%c #e,%c !
%c #f,%c !
%c #g,%c !
%c #h,%c !
%c #i,%c !
%c #j,%c !
%c #k,%c !
%c #l,%c !
%c #m,%c !
%c #n,%c !
%c #o,%c !
%c #p,%c !
%c #q,%c !
%c #r,%c !
%c #s,%c !
%c #t,%c !
%c #u,%c !
%c #v,%c !
%c #w,%c !
%c #x,%c !
%c #y,%c !
%c #z,%c !
%c #{,%c !
%c #|,%c !
%c #},%c !
%c #~,%c !
%c $!,%c !
%c $#,%c !
%c $$,%c !
%c $%,%c !
%c $&,%c !
%c $',%c !
%c $(,%c !
%c $),%c !
%c $*,%c !
%c $+,%c !
%c $-,%c !
%c $.,%c !
%c $/,%c !
%c $0,%c !
%c $1,%c !
%c $2,%c !
%c $3,%c !
%c $4,%c !
%c $5,%c !
%c $6,%c !
%c $7,%c !
%c $8,%c !
%c $9,%c !
%c $:,%c !
%c $;,%c !
%c $<,%c !
%c $=,%c !
%c $>,%c !
%c $?,%c !
%c $@,%c !
%c $A,%c !
%c $B,%c !
%c $C,%c !
%c $D,%c !
%c $E,%c !
%c $F,%c !
%c $G,%c !
%c $H,%c !
%c $I,%c !
%c $J,%c !
%c $K,%c !
%c $L,%c !
%c $M,%c !
%c $N,%c !
%c $O,%c !
%c $P,%c !
%c $Q,%c !
%c $R,%c !
%c $S,%c !
%c $T,%c !
%c $U,%c !
%c $V,%c !
%c $W,%c !
%c $X,%c !
%c $Y,%c !
%c $Z,%c !
%c $[,%c !
%c $],%c !
%c $^,%c !
%c $_,%c !
%c $`,%c !
%c $a,%c !
%c $b,%c !
%c $c,%c !
%c $d,%c !
%c $e,%c !
%c $f,%c !
%c $g,%c !
%c $h,%c !
%c $i,%c !
%c $j,%c !
%c $k,%c !
%c $l,%c !
%c $m,%c !
%c $n,%c !
%c $o,%c !
%c $p,%c !
%c $q,%c !
%c $r,%c !
%c $s,%c !
%c $t,%c !
%c $u,%c !
%c $v,%c !
%c $w,%c !
%c $x,%c !
%c $y,%c !
%c $z,%c !
%c ${,%c !
%c $|,%c !
%c $},%c !
%c $~,%c !
%c %!,%c !
%c %#,%c !
%c %$,%c !
%c %%,%c !
%c %&,%c !
%c %',%c !
%c %(,%c !
%c %),%c !
%c %*,%c !
%c %+,%c !
%c %-,%c !
%c %.,%c !
%c %/,%c !
%c %0,%c !
%c %1,%c !
%c %2,%c !
%c %3,%c !
%c %4,%c !
%c %5,%c !
%c %6,%c !
%c %7,%c !
%c %8,%c !
%c %9,%c !
%c %:,%c !
%c %;,%c !
%c %<,%c !
%c %=,%c !
%c %>,%c !
%c %?,%c !
%c %@,%c !
%c %A,%c !
%c %B,%c !
%c %C,%c !
%c %D,%c !
%c %E,%c !
%c %F,%c !
%c %G,%c !
%c %H,%c !
%c %I,%c !
%c %J,%c !
%c %K,%c !
%c %L,%c !
%c %M,%c !
%c %N,%c !
%c %O,%c !
%c %P,%c !
%c %Q,%c !
%c %R,%c !
%c %S,%c !
%c %T,%c !
%c %U,%c !
%c %V,%c !
%c %W,%c !
%c %X,%c !
%c %Y,%c !
%c %Z,%c !
%c %[,%c !
%c %],%c !
%c %^,%c !
%c %_,%c !
%c %`,%c !
%c %a,%c !
%c %b,%c !
%c %c,%c !
%c %d,%c !
%c %e,%c !
%c %f,%c !
%c %g,%c !
%c %h,%c !
%c %i,%c !
%c %j,%c !
%c %k,%c !
%c %l,%c !
%c %m,%c !
%c %n,%c !
%c %o,%c !
%c %p,%c !
%c %q,%c !
%c %r,%c !
%c %s,%c !
%c %t,%c !
%c %u,%c !
%c %v,%c !
%c %w,%c !
%c %x,%c !
%c %y,%c !
%c %z,%c !
%c %{,%c !
%c %|,%c !
%c %},%c !
%c %~,%c !
%c &!,%c !
%c &#,%c !
%c &$,%c !
%c &%,%c !
%c &&,%c !
%c &',%c !
%c &(,%c !
%c &),%c !
%c &*,%c !
%c &+,%c !
%c &-,%c !
%c &.,%c !
%c &/,%c !
%c &0,%c !
%c &1,%c !
%c &2,%c !
%c &3,%c !
%c &5,%c &4
%c &6,%c &4
%c &7,%c &4
%c &8,%c &4
%c &9,%c &4
%c &:,%c &4
%c &;,%c &4
%c &<,%c &4
%c &=,%c &4
%c &>,%c &4
%c &?,%c &4
%c &@,%c &4
%c &A,%c &4
%c &B,%c &4
%c &C,%c &4
%c &D,%c &4
%c &E,%c &4
%c &F,%c &4
%c &G,%c &4
%c &H,%c &4
%c &I,%c &4
%c &J,%c &4
%c &K,%c &4
